dedicated_video_card,name,price,processor,ram,screen,storage,video_card
,Samsung Chromebook 4 XE310XBA-K01US,209990,Intel Celeron N4000 (2 núcleos / 2 hilos / 1100 MHz  - 2600 MHz),4 GB LPDDR4 (1600 MHz),"LED 11.6"" (1366x768)  / 60 Hz",eMMC 32GB,Intel UHD Graphics 600 (Integrada)
,Lenovo 100e Chromebook [82CD000BCS],214990,AMD A4-9120C (2 núcleos / 2 hilos / 1600 MHz  - 2400 MHz),4 GB DDR4 (1866 MHz),"LED 11.6"" (1366x768)  / 60 Hz",eMMC 32GB,AMD Radeon R4 Graphics (Stoney Ridge) (Integrada)
,HP Chromebook 14-Q001LA [F4H44LA],219990,Intel Celeron 2955U (2 núcleos / 2 hilos / 1400 MHz ),2 GB DDR3 (1600 MHz),"LED 14.0"" (1366x768)  / 60 Hz",eMMC 16GB,Intel HD Graphics (Haswell) (Integrada)
,ASUS E410MA-EK1016T [90NB0Q15-M29420],229990,Intel Celeron N4020 (2 núcleos / 2 hilos / 1100 MHz  - 2800 MHz),4 GB DDR4 (2400 MHz),"LED 14.0"" (1920x1080)  / 60 Hz",eMMC 64GB,Intel UHD Graphics 600 (Integrada)
,ASUS E410MA-EK746T,229990,Intel Celeron N4020 (2 núcleos / 2 hilos / 1100 MHz  - 2800 MHz),4 GB DDR4 (2400 MHz),"LED 14.0"" (1920x1080)  / 60 Hz",eMMC 64GB,Intel UHD Graphics 600 (Integrada)
,HP 240 G7 [1D0F9LT],229990,Intel Celeron N4020 (2 núcleos / 2 hilos / 1100 MHz  - 2800 MHz),4 GB DDR4 (2400 MHz),"LED 14.0"" (1366x768)  / 60 Hz",HDD 500GB (7200rpm),Intel UHD Graphics 600 (Integrada)
,HP Chromebook 11A-NB0013DX [1N091UA],229990,Intel Celeron N3350 (2 núcleos / 2 hilos / 1100 MHz  - 2400 MHz),4 GB LPDDR4 (2400 MHz),"LED 11.6"" (1366x768)  / 60 Hz",eMMC 32GB,Intel HD Graphics 500 (Integrada)
,Lenovo IdeaPad Duet Chromebook [ZA6F0103CL],229990,Mediatek-Helio P60T (8 núcleos / 8 hilos / 2000 MHz ),4 GB LPDDR4X (1866 MHz),"LED 10.1"" (1920x1200) táctil / 60 Hz",eMMC 128GB,ARM Mali G72 MP3 (Integrada)
,Lenovo IdeaPad 3 CB 14IGL05 [82C1000JAU],239900,Intel Celeron N4020 (2 núcleos / 2 hilos / 1100 MHz  - 2800 MHz),4 GB LPDDR4 (2400 MHz),"LED 14.0"" (1920x1080)  / 60 Hz",eMMC 64GB,Intel UHD Graphics 600 (Integrada)
,HP 240 G7 [1D0F5LT],239990,Intel Celeron N4020 (2 núcleos / 2 hilos / 1100 MHz  - 2800 MHz),4 GB DDR4 (2400 MHz),"LED 14.0"" (1366x768)  / 60 Hz",HDD 500GB (5400rpm),Intel UHD Graphics 600 (Integrada)
,HP Chromebook 14A-NA0642CL [9RT87UA],239990,Intel Celeron N4020 (2 núcleos / 2 hilos / 1100 MHz  - 2800 MHz),4 GB LPDDR4 (2400 MHz),"LED 14.0"" (1366x768)  / 60 Hz",eMMC 32GB,Intel UHD Graphics 600 (Integrada)
,HP Chromebook 11A G8 EE [16W64UT],239990,AMD A4-9120C (2 núcleos / 2 hilos / 1600 MHz  - 2400 MHz),4 GB DDR4L (1866 MHz),"LED 11.6"" (1366x768)  / 60 Hz",eMMC 32GB,AMD Radeon R4 Graphics (Stoney Ridge) (Integrada)
,HP Stream 11-AK0010NR [16V14UA],239990,Intel Celeron N4000 (2 núcleos / 2 hilos / 1100 MHz  - 2600 MHz),4 GB DDR3L (1600 MHz),"LED 11.6"" (1366x768)  / 60 Hz",eMMC 32GB,Intel UHD Graphics 600 (Integrada)
,CHUWI Hi10 X (N4100 / 6GB / 128GB SSD),249990,Intel Celeron N4100 (4 núcleos / 4 hilos / 1100 MHz  - 2400 MHz),6 GB LPDDR4 (2133 MHz),"LED 10.1"" (1920x1200) táctil / 60 Hz",eMMC 128GB,Intel UHD Graphics 600 (Integrada)
,HP 240 G8 [2Q9S5LT],249990,Intel Celeron N4020 (2 núcleos / 2 hilos / 1100 MHz  - 2800 MHz),4 GB DDR4 (2666 MHz),"LED 14.0"" (1366x768)  / 60 Hz",HDD 500GB (5400rpm),Intel UHD Graphics 600 (Integrada)
,Lenovo IdeaPad 1 14ADA05 [82GW0099CL],249990,AMD Athlon 3020e (2 núcleos / 2 hilos / 1200 MHz  - 2600 MHz),4 GB DDR4 (2400 MHz),"LED 14.0"" (1366x768)  / 60 Hz",eMMC 64GB,AMD Radeon RX Vega 3 (Integrada)
,Lenovo IdeaPad 1 14ADA05 [82GW004FLM],249990,AMD Athlon 3020e (2 núcleos / 2 hilos / 1200 MHz  - 2600 MHz),4 GB DDR4 (2400 MHz),"LED 14.0"" (1366x768)  / 60 Hz",eMMC 64GB,AMD Radeon RX Vega 3 (Integrada)
,Lenovo IdeaPad D330-10IGL [82H0001NCL],249990,Intel Celeron N4020 (2 núcleos / 2 hilos / 1100 MHz  - 2800 MHz),4 GB LPDDR4 (2133 MHz),"LED 10.1"" (1280x800) táctil / 60 Hz",eMMC 64GB,Intel UHD Graphics 600 (Integrada)
,Lenovo 14w [81MQ00AGCL],249990,AMD A6-9220C (2 núcleos / 2 hilos / 1800 MHz  - 2700 MHz),4 GB LPDDR4X (1866 MHz),"LED 14.0"" (1920x1080)  / 60 Hz",SSD 128GB,AMD Radeon R4 Graphics (Stoney Ridge) (Integrada)
,Lenovo IdeaPad S145-14API [81UV00AQGJ],249990,AMD Athlon 3020e (2 núcleos / 2 hilos / 1200 MHz  - 2600 MHz),4 GB DDR4 (2400 MHz),"LED 14.0"" (1366x768)  / 60 Hz",HDD 500GB (5400rpm),AMD Radeon RX Vega 3 (Integrada)
,Gear Lotus A1417 - Dark Gray (N3350 / 4GB / 128GB SSD / W10H),250000,Intel Celeron N3350 (2 núcleos / 2 hilos / 1100 MHz  - 2400 MHz),4 GB DDR3L (1600 MHz),"LED 14.0"" (1920x1080)  / 60 Hz",SSD 128GB,Intel HD Graphics 500 (Integrada)
,CHUWI HeroBook Pro (N4020 / 8GB / 256GB SSD),249990,Intel Celeron N4020 (2 núcleos / 2 hilos / 1100 MHz  - 2800 MHz),8 GB LPDDR4 (2133 MHz),"LED 14.1"" (1920x1080)  / 60 Hz",SSD 256GB,Intel UHD Graphics 600 (Integrada)
,HP 14-DK1003DX [9XM12UA],254990,AMD Athlon Silver 3050U (2 núcleos / 2 hilos / 2300 MHz  - 3200 MHz),4 GB DDR4 (2400 MHz),"LED 14.0"" (1366x768)  / 60 Hz",SSD 128GB,AMD Radeon RX Vega 2 (Integrada)
,ASUS L210MA-DB01,259990,Intel Celeron N4020 (2 núcleos / 2 hilos / 1100 MHz  - 2800 MHz),4 GB DDR4 (2400 MHz),"LED 11.6"" (1366x768)  / 60 Hz",eMMC 64GB,Intel UHD Graphics 600 (Integrada)
,HP 14S-FQ0013DX [192T6UA],259990,AMD Athlon Silver 3050U (2 núcleos / 2 hilos / 2300 MHz  - 3200 MHz),4 GB DDR4 (2400 MHz),"LED 14.0"" (1366x768)  / 60 Hz",SSD 128GB,AMD Radeon RX Vega 2 (Integrada)
,HP Chromebook 14-CA061DX [3JQ73UA],259990,Intel Celeron N3350 (2 núcleos / 2 hilos / 1100 MHz  - 2400 MHz),4 GB LPDDR4 (2133 MHz),"LED 14.0"" (1366x768) táctil / 60 Hz",eMMC 32GB,Intel HD Graphics 500 (Integrada)
,HP Stream 11 Pro G5 (N4000 / 4GB / 64GB eMMC),259990,Intel Celeron N4000 (2 núcleos / 2 hilos / 1100 MHz  - 2600 MHz),4 GB DDR4 (2400 MHz),"LED 11.6"" (1920x1080)  / 60 Hz",eMMC 64GB,Intel UHD Graphics 600 (Integrada)
,HP Stream 11 Pro G5 [6PP55UT],259990,Intel Celeron N4000 (2 núcleos / 2 hilos / 1100 MHz  - 2600 MHz),4 GB DDR4 (2400 MHz),"LED 11.6"" (1366x768)  / 60 Hz",eMMC 64GB,Intel UHD Graphics 600 (Integrada)
