dedicated_video_card,name,price,processor,ram,screen,storage,video_card
,Lenovo IdeaPad 310-14IKB [80TU002XCL],415000,Intel Core i7-7500U (2 núcleos / 4 hilos / 2700 MHz  - 3500 MHz),4 GB DDR4 (2133 MHz),"LED 14.0"" (1366x768)  / 60 Hz",HDD 1TB (5400rpm),Intel HD Graphics 620 (Integrada)
,HP Chromebook 11 G8 [21Y11LA],419520,Intel Celeron N4020 (2 núcleos / 2 hilos / 1100 MHz  - 2800 MHz),8 GB LPDDR4 (3733 MHz),"LED 11.6"" (1366x768)  / 60 Hz",eMMC 64GB,Intel UHD Graphics 600 (Integrada)
,Acer Aspire 3 A314-22-R522-1 [NX.HVWAL.00Z.1],419990,AMD Athlon Silver 3050U (2 núcleos / 2 hilos / 2300 MHz  - 3200 MHz),12 GB DDR4 (2400 MHz),"LED 14.0"" (1920x1080)  / 60 Hz",SSD 256GB,AMD Radeon RX Vega 2 (Integrada)
,ASUS VivoBook 14 M415DA-EK844T [90NB0T31-M11360],419990,AMD Ryzen 3 3250U (2 núcleos / 4 hilos / 2600 MHz  - 3500 MHz),4 GB DDR4 (2400 MHz),"LED 14.0"" (1920x1080)  / 60 Hz",SSD 256GB,AMD Radeon RX Vega 3 (Integrada)
,Dell Vostro 3401 [MP9FD],419990,Intel Core i3-1005G1 (2 núcleos / 4 hilos / 1200 MHz  - 3400 MHz),4 GB DDR4 (2666 MHz),"LED 14.0"" (1366x768)  / 60 Hz",HDD 1TB (5400rpm),Intel UHD Graphics G1 (Integrada)
,Dell Latitude E5470 (i5-6300U / 8GB / 250GB),419990,Intel Core i5-6300U (2 núcleos / 4 hilos / 2400 MHz  - 3000 MHz),8 GB DDR4 (2133 MHz),"LED 14.0"" (1366x768)  / 60 Hz",HDD 250GB (5400rpm),Intel HD Graphics 520 (Integrada)
,Lenovo V14 IIL [82C4010XCL],419990,Intel Core i3-1005G1 (2 núcleos / 4 hilos / 1200 MHz  - 3400 MHz),4 GB DDR4 (2666 MHz),"LED 14.0"" (1366x768)  / 60 Hz",SSD 256GB,Intel UHD Graphics G1 (Integrada)
,Dell Inspiron 15 3505 (Ryzen 5 3450U / 4GB / 128GB SSD / FreeDOS),419990,AMD Ryzen 5 3450U (4 núcleos / 8 hilos / 2100 MHz  - 3500 MHz),4 GB DDR4 (2400 MHz),"LED 15.6"" (1366x768)  / 60 Hz",SSD 128GB,AMD Radeon RX Vega 8 (Integrada)
,ASUS 15 X515EA-BQ875T [90NB0TY1-M14120],419990,Intel Core i3-1115G4 (2 núcleos / 4 hilos / 3000 MHz  - 4100 MHz),4 GB DDR4 (2400 MHz),"LED 15.6"" (1920x1080)  / 60 Hz",SSD 256GB,Intel UHD Graphics Xe G4 48EUs (Integrada)
,ASUS 15 X515EA-BQ423T,419990,Intel Core i3-1115G4 (2 núcleos / 4 hilos / 3000 MHz  - 4100 MHz),4 GB DDR4 (2400 MHz),"LED 15.6"" (1920x1080)  / 60 Hz",SSD 128GB,Intel UHD Graphics Xe G4 48EUs (Integrada)
,HP 245 G7 (Ryzen 3 3250U / 8GB / 256GB SSD / W10H),419990,AMD Ryzen 3 3250U (2 núcleos / 4 hilos / 2600 MHz  - 3500 MHz),8 GB DDR4 (2400 MHz),"LED 14.0"" (1366x768)  / 60 Hz",SSD 256GB,AMD Radeon RX Vega 3 (Integrada)
,Dell Vostro 3400 [PG72Y],419990,Intel Core i3-1115G4 (2 núcleos / 4 hilos / 3000 MHz  - 4100 MHz),4 GB DDR4 (2666 MHz),"LED 14.0"" (1366x768)  / 60 Hz",HDD 1TB (5400rpm),Intel UHD Graphics Xe G4 48EUs (Integrada)
,HP 240 G7 (Celeron N4020 / 4GB / 500GB / W10H) + KIT Teclado Mouse + Candado Seguridad,424990,Intel Celeron N4020 (2 núcleos / 2 hilos / 1100 MHz  - 2800 MHz),4 GB DDR4 (2400 MHz),"LED 14.0"" (1366x768)  / 60 Hz",HDD 500GB (7200rpm),Intel UHD Graphics 600 (Integrada)
,HP 240 G7 (Celeron N4020 / 4GB / 500GB / W10H) + Audífono Espex KM-330 + KIT Teclado Mouse + Candado Seguridad,424990,Intel Celeron N4020 (2 núcleos / 2 hilos / 1100 MHz  - 2800 MHz),4 GB DDR4 (2400 MHz),"LED 14.0"" (1366x768)  / 60 Hz",HDD 500GB (7200rpm),Intel UHD Graphics 600 (Integrada)
,HP 240 G7 (i3-1005G1 / 4GB / 240GB SSD / W10H),429900,Intel Core i3-1005G1 (2 núcleos / 4 hilos / 1200 MHz  - 3400 MHz),4 GB DDR4 (2666 MHz),"LED 14.0"" (1366x768)  / 60 Hz",SSD 240GB,Intel UHD Graphics G1 (Integrada)
,HP 17-BY3063ST [9VV83UA],429990,Intel Core i3-1005G1 (2 núcleos / 4 hilos / 1200 MHz  - 3400 MHz),8 GB DDR4 (2666 MHz),"LED 17.3"" (1600x900)  / 60 Hz",SSD 256GB,Intel UHD Graphics G1 (Integrada)
,Dell Inspiron 15 3000 (i3-1005G1 / 4GB / 128GB SSD),429990,Intel Core i3-1005G1 (2 núcleos / 4 hilos / 1200 MHz  - 3400 MHz),4 GB DDR4 (2400 MHz),"LED 15.6"" (1366x768)  / 60 Hz",SSD 128GB,Intel UHD Graphics G1 (Integrada)
,HP 14-CF2051LA [299P5LA],429990,Intel Core i3-10110U (2 núcleos / 4 hilos / 2100 MHz  - 4100 MHz),4 GB DDR4 (2666 MHz),"LED 14.0"" (1366x768)  / 60 Hz",Intel Optane 16GB,Intel UHD Graphics 630 (Integrada)
,HP Pavilion x360 14-DH1032LA [275K7LA],429990,Intel Core i3-10110U (2 núcleos / 4 hilos / 2100 MHz  - 4100 MHz),4 GB DDR4 (2666 MHz),"LED 14.0"" (1366x768) táctil / 60 Hz",SSD 256GB,Intel UHD Graphics 630 (Integrada)
,Lenovo V130-14IKB [81HQ00UWCL],429990,Intel Core i3-7020U (2 núcleos / 4 hilos / 2300 MHz ),4 GB DDR4 (2133 MHz),"LED 14.0"" (1366x768)  / 60 Hz",HDD 1TB (5400rpm),Intel HD Graphics 620 (Integrada)
,Lenovo IdeaPad 3 15IML05 [81WR000FUS],429990,Intel Core i3-10110U (2 núcleos / 4 hilos / 2100 MHz  - 4100 MHz),8 GB DDR4 (2666 MHz),"LED 15.6"" (1366x768) táctil / 60 Hz",SSD 256GB,Intel UHD Graphics 630 (Integrada)
,Lenovo IdeaPad 3 15IIL05 [81WE001RUS],429990,Intel Core i3-1005G1 (2 núcleos / 4 hilos / 1200 MHz  - 3400 MHz),8 GB DDR4 (2666 MHz),"LED 15.6"" (1920x1080)  / 60 Hz",SSD 256GB,Intel UHD Graphics G1 (Integrada)
,Dell Vostro 3400 (i3-1115G4 / 4GB / 1TB / FreeDOS),429990,Intel Core i3-1115G4 (2 núcleos / 4 hilos / 3000 MHz  - 4100 MHz),4 GB DDR4 (2666 MHz),"LED 14.0"" (1366x768)  / 60 Hz",HDD 1TB (5400rpm),Intel UHD Graphics Xe G4 48EUs (Integrada)
,HP 14-DQ2033CL [23K14UA],429990,Intel Core i3-1115G4 (2 núcleos / 4 hilos / 3000 MHz  - 4100 MHz),8 GB DDR4 (2666 MHz),"LED 14.0"" (1920x1080)  / 60 Hz",SSD 256GB,Intel UHD Graphics Xe G4 48EUs (Integrada)
,ASUS VivoBook 15 F512DA-WB31,429990,AMD Ryzen 3 3250U (2 núcleos / 4 hilos / 2600 MHz  - 3500 MHz),4 GB DDR4 (2400 MHz),"LED 15.6"" (1920x1080)  / 60 Hz",SSD 128GB,AMD Radeon RX Vega 3 (Integrada)
,Lenovo IdeaPad Flex 5 14ARE05 [81X2000HUS],430000,AMD Ryzen 3 4300U (4 núcleos / 4 hilos / 2700 MHz  - 3700 MHz),4 GB DDR4 (3200 MHz),"LED 14.0"" (1920x1080) táctil / 60 Hz",SSD 128GB,AMD Radeon RX Vega 5 (Integrada)
,Dell Latitude 3400 (i5-8265U / 8 GB / 256 GB SSD / W10P),430000,Intel Core i5-8265U (4 núcleos / 8 hilos / 1600 MHz  - 3900 MHz),8 GB DDR4 (2400 MHz),"LED 14.0"" (1366x768)  / 60 Hz",SSD 256GB,Intel UHD Graphics 620 (Integrada)
,Lenovo IdeaPad 320s [81BQ000SCL],435000,Intel Core i7-8550U (4 núcleos / 8 hilos / 1800 MHz  - 4000 MHz),8 GB DDR4 (2400 MHz),"LED 15.6"" (1366x768)  / 60 Hz",HDD 1TB (5400rpm),Intel UHD Graphics 620 (Integrada)
,HP Chromebook 11 G8 EE [1A978LT],435066,Intel Celeron N4020 (2 núcleos / 2 hilos / 1100 MHz  - 2800 MHz),4 GB LPDDR4 (3733 MHz),"LED 11.6"" (1366x768)  / 60 Hz",eMMC 32GB,Intel UHD Graphics 600 (Integrada)
,Dell Inspiron 14 3493 [NM8CF],439990,Intel Core i3-1005G1 (2 núcleos / 4 hilos / 1200 MHz  - 3400 MHz),4 GB DDR4 (2666 MHz),"LED 14.0"" (1366x768)  / 60 Hz",HDD 1TB (5400rpm),Intel UHD Graphics G1 (Integrada)
,HP 245 G7 [161D8LT],439990,AMD Ryzen 3 3250U (2 núcleos / 4 hilos / 2600 MHz  - 3500 MHz),4 GB DDR4 (2400 MHz),"LED 14.0"" (1366x768)  / 60 Hz",HDD 1TB (5400rpm),AMD Radeon RX Vega 3 (Integrada)
,HP 240 G7 (i3-8130U / 4GB / 1TB / W10 Home),439990,Intel Core i3-8130U (2 núcleos / 4 hilos / 2200 MHz  - 3400 MHz),4 GB DDR4 (2400 MHz),"LED 14.0"" (1366x768)  / 60 Hz",HDD 1TB (5400rpm),Intel UHD Graphics 620 (Integrada)
,HP 348 G7 [2E4U1LT-C],439990,Intel Core i3-10110U (2 núcleos / 4 hilos / 2100 MHz  - 4100 MHz),8 GB DDR4 (2666 MHz),"LED 14.0"" (1366x768)  / 60 Hz",HDD 1TB (5400rpm),Intel UHD Graphics 630 (Integrada)
,Lenovo IdeaPad 3 14ADA05 [81W000J3CL4GB],439990,AMD Athlon Silver 3050U (2 núcleos / 2 hilos / 2300 MHz  - 3200 MHz),4 GB DDR4 (2400 MHz),"LED 14.0"" (1366x768)  / 60 Hz",HDD 1TB (5400rpm),AMD Radeon RX Vega 2 (Integrada)
,Dell Vostro 3400 (i3-1115G4 / 4GB / 1TB / Linux),439990,Intel Core i3-1115G4 (2 núcleos / 4 hilos / 3000 MHz  - 4100 MHz),4 GB DDR4 (2666 MHz),"LED 14.0"" (1920x1080)  / 60 Hz",HDD 1TB (5400rpm),Intel UHD Graphics Xe G4 48EUs (Integrada)
,HP Chromebook 14 G6 [1B193LT],440290,Intel Celeron N4020 (2 núcleos / 2 hilos / 1100 MHz  - 2800 MHz),4 GB LPDDR4 (2400 MHz),"LED 14.0"" (1366x768)  / 60 Hz",eMMC 32GB,Intel UHD Graphics 600 (Integrada)
,Lenovo IdeaPad 3 14IIL05 [81WD003CCL],448990,Intel Core i3-1005G1 (2 núcleos / 4 hilos / 1200 MHz  - 3400 MHz),4 GB DDR4 (2666 MHz),"LED 14.0"" (1366x768)  / 60 Hz",SSD 256GB,Intel UHD Graphics G1 (Integrada)
,Lenovo ThinkPad T460 (i5-6200U / 8GB / 1TB),449000,Intel Core i5-6200U (2 núcleos / 4 hilos / 2300 MHz  - 2800 MHz),8 GB DDR3L (1600 MHz),"LED 14.0"" (1366x768)  / 60 Hz",HDD 1TB (5400rpm),Intel HD Graphics 520 (Integrada)
,Lenovo ThinkPad X240 (i7-4600U / 8GB / 256GB SSD / W10P),449000,Intel Core i7-4600U (2 núcleos / 4 hilos / 2100 MHz  - 3300 MHz),8 GB DDR3L (1600 MHz),"LED 12.5"" (1366x768)  / 60 Hz",SSD 256GB,Intel HD Graphics 4400 (Integrada)
,Dell Latitude E7440 (i5-5300U / 8GB / 500GB),449000,Intel Core i5-5300U (2 núcleos / 4 hilos / 2300 MHz  - 2900 MHz),8 GB DDR3 (1600 MHz),"LED 14.0"" (1920x1080)  / 60 Hz",HDD 500GB (5400rpm),Intel HD Graphics 5500 (Integrada)
,HP 348 G7 [2E4U1LT-M],449900,Intel Core i3-10110U (2 núcleos / 4 hilos / 2100 MHz  - 4100 MHz),8 GB DDR4 (2666 MHz),"LED 14.0"" (1366x768)  / 60 Hz",HDD 1TB (5400rpm),Intel UHD Graphics 630 (Integrada)
,Dell Latitude E5450 (i5-5300U / 8GB / 500GB / FreeDOS),449900,Intel Core i5-5300U (2 núcleos / 4 hilos / 2300 MHz  - 2900 MHz),8 GB DDR3 (1600 MHz),"LED 14.0"" (1366x768)  / 60 Hz",HDD 500GB (5400rpm),Intel HD Graphics 5500 (Integrada)
,HP ProBook 650 G1 (i5-4210M / 8GB / 500GB / W10P),449900,Intel Core i5-4210M (2 núcleos / 4 hilos / 2600 MHz  - 3200 MHz),8 GB DDR3 (1600 MHz),"LED 15.6"" (1366x768)  / 60 Hz",HDD 500GB (7200rpm),Intel HD Graphics 4600 (Integrada)
,Dell Latitude E6440 (i7 4600M / 8 GB / 500 GB),449900,Intel Core i7-4600M (2 núcleos / 4 hilos / 2900 MHz  - 3600 MHz),4 GB DDR3L (1600 MHz),"LED 14.0"" (1920x1080)  / 60 Hz",HDD 500GB (5400rpm),Intel HD Graphics 4600 (Integrada)
,Dell Inspiron 15 3505 (Ryzen 5 3450U / 8GB / 256GB SSD / W10H),449990,AMD Ryzen 5 3450U (4 núcleos / 8 hilos / 2100 MHz  - 3500 MHz),8 GB DDR4 (2400 MHz),"LED 15.6"" (1366x768)  / 60 Hz",SSD 256GB,AMD Radeon RX Vega 8 (Integrada)
,HP 14-DK1031DX [1Y8X8UA],449990,AMD Ryzen 3 3250U (2 núcleos / 4 hilos / 2600 MHz  - 3500 MHz),8 GB DDR4 (2400 MHz),"LED 14.0"" (1366x768)  / 60 Hz",HDD 1TB (5400rpm),AMD Radeon RX Vega 3 (Integrada)
,Dell Inspiron 13 (i3-8145U / 8GB / 128GB SSD),449990,Intel Core i3-8145U (2 núcleos / 4 hilos / 2100 MHz  - 3900 MHz),8 GB DDR4 (2400 MHz),"LED 13.3"" (1366x768)  / 60 Hz",SSD 128GB,Intel UHD Graphics 620 (Integrada)
,Dell Inspiron 15 3593 (i3-1005G1 / 8GB / 1TB HDD),449990,Intel Core i3-1005G1 (2 núcleos / 4 hilos / 1200 MHz  - 3400 MHz),8 GB DDR4 (2666 MHz),"LED 15.6"" (1920x1080)  / 60 Hz",HDD 1TB (5400rpm),Intel UHD Graphics G1 (Integrada)
,Dell Inspiron 15 3593 (i3-1005G1 / 4GB / 128GB SSD),449990,Intel Core i3-1005G1 (2 núcleos / 4 hilos / 1200 MHz  - 3400 MHz),4 GB DDR4 (2666 MHz),"LED 15.6"" (1920x1080)  / 60 Hz",SSD 128GB,Intel UHD Graphics G1 (Integrada)
,Dell Latitude 3301 (i3-1005G1 / 8GB / 128GB SSD),449990,Intel Core i3-1005G1 (2 núcleos / 4 hilos / 1200 MHz  - 3400 MHz),8 GB LPDDR3 (2133 MHz),"LED 13.3"" (1366x768)  / 60 Hz",SSD 128GB,Intel UHD Graphics G1 (Integrada)
,HP 15-DY1003CA [2D678UA],449990,Intel Core i3-1005G1 (2 núcleos / 4 hilos / 1200 MHz  - 3400 MHz),8 GB DDR4 (2666 MHz),"LED 15.6"" (1920x1080)  / 60 Hz",SSD 512GB,Intel UHD Graphics G1 (Integrada)
,HP 15-DW1024WM [24V88UA],449990,Intel Core i3-10110U (2 núcleos / 4 hilos / 2100 MHz  - 4100 MHz),4 GB DDR4 (2666 MHz),"LED 15.6"" (1366x768)  / 60 Hz",SSD 128GB,Intel UHD Graphics 630 (Integrada)
,Lenovo IdeaPad S340 [81VV00C4CL],449990,Intel Core i3-1005G1 (2 núcleos / 4 hilos / 1200 MHz  - 3400 MHz),4 GB DDR4 (2666 MHz),"LED 14.0"" (1366x768)  / 60 Hz",HDD 1TB (5400rpm),Intel UHD Graphics G1 (Integrada)
,HP Pavilion x360 14M-DW1013DX [1F4W6UA],449990,Intel Core i3-1115G4 (2 núcleos / 4 hilos / 3000 MHz  - 4100 MHz),8 GB DDR4 (3200 MHz),"LED 14.0"" (1366x768) táctil / 60 Hz",SSD 128GB,Intel UHD Graphics Xe G4 48EUs (Integrada)
,HP Pavilion x360 14-DY0501LA [4E8P3LA],449990,Intel Core i3-1125G4 (4 núcleos / 8 hilos / 2000 MHz  - 3700 MHz),8 GB DDR4 (3200 MHz),"LED 14.0"" (1366x768) táctil / 60 Hz",SSD 256GB,Intel UHD Graphics Xe G4 48EUs (Integrada)
,HP 14-FQ0041NR [20V05UA],449990,AMD Athlon 3020e (2 núcleos / 2 hilos / 1200 MHz  - 2600 MHz),4 GB DDR4 (2400 MHz),"LED 14.0"" (1366x768)  / 60 Hz",eMMC 64GB,AMD Radeon RX Vega 3 (Integrada)
,Dell Inspiron 13 5378 (i3-7100U / 4GB / 1TB / W10H),449990,Intel Core i3-7100U (2 núcleos / 2 hilos / 2400 MHz ),4 GB DDR4 (2400 MHz),"LED 13.3"" (1920x1080)  / 60 Hz",HDD 1TB (5400rpm),Intel HD Graphics 620 (Integrada)
,HP 240 G7 [6MF09LT],450000,Intel Core i5-8265U (4 núcleos / 8 hilos / 1600 MHz  - 3900 MHz),4 GB DDR4 (2400 MHz),"LED 14.0"" (1366x768)  / 60 Hz",HDD 1TB (5400rpm),Intel UHD Graphics 620 (Integrada)
,Lenovo ThinkPad X240 (i7-4600U / 8GB / 256GB SSD / W10P / WiFi 5),450990,Intel Core i7-4600U (2 núcleos / 4 hilos / 2100 MHz  - 3300 MHz),8 GB DDR3L (1600 MHz),"LED 12.5"" (1366x768)  / 60 Hz",SSD 256GB,Intel HD Graphics 4400 (Integrada)
,Huawei Matebook D 14 [NobelB-WAI9B / 53011VPS],449990,Intel Core i3-10110U (2 núcleos / 4 hilos / 2100 MHz  - 4100 MHz),8 GB DDR4 (2400 MHz),"LED 14.0"" (1920x1080)  / 60 Hz",SSD 256GB,Intel UHD Graphics 630 (Integrada)
,MSI Modern 14 B10MW [B10MW-642CL],449990,Intel Core i3-10110U (2 núcleos / 4 hilos / 2100 MHz  - 4100 MHz),8 GB DDR4 (2666 MHz),"LED 14.0"" (1920x1080)  / 60 Hz",SSD 256GB,Intel UHD Graphics 630 (Integrada)
,CHUWI CoreBook X (i5-8259U / 8GB / 512GB SSD),449990,Intel Core i5-8259U (4 núcleos / 8 hilos / 2300 MHz  - 3800 MHz),8 GB DDR4 (2133 MHz),"LED 14.0"" (2160x1440)  / 60 Hz",SSD 512GB,Intel Iris Plus Graphics 655 (128 MB)
,HP 240 G8 [2K2P3LT],452990,Intel Core i3-1005G1 (2 núcleos / 4 hilos / 1200 MHz  - 3400 MHz),4 GB DDR4 (2666 MHz),"LED 14.0"" (1366x768)  / 60 Hz",HDD 1TB (5400rpm),Intel UHD Graphics G1 (Integrada)
,Lenovo IdeaPad S145-14API [81UV00BHCL],457740,AMD Athlon 3020e (2 núcleos / 2 hilos / 1200 MHz  - 2600 MHz),8 GB DDR4 (2400 MHz),"LED 14.0"" (1366x768)  / 60 Hz",HDD 2TB (5400rpm),AMD Radeon RX Vega 3 (Integrada)
,HP EliteBook 820 G3 (i5-6300U / 8GB / 256GB SSD),459990,Intel Core i5-6300U (2 núcleos / 4 hilos / 2400 MHz  - 3000 MHz),8 GB DDR4 (2133 MHz),"LED 12.5"" (1366x768)  / 60 Hz",SSD 256GB,Intel HD Graphics 520 (Integrada)
Intel UHD Graphics 620 (Integrada),Dell Vostro 3490 [F7HXV],460000,Intel Core i5-10210U (4 núcleos / 8 hilos / 1600 MHz  - 4200 MHz),8 GB DDR4 (2666 MHz),"LED 14.0"" (1366x768)  / 60 Hz",HDD 1TB (5400rpm),Intel UHD Graphics 620 (Integrada)
,ASUS E410MA-BV225T [90NB0Q15-M13870],464148,Intel Celeron N4020 (2 núcleos / 2 hilos / 1100 MHz  - 2800 MHz),4 GB DDR4 (2400 MHz),"LED 14.0"" (1366x768)  / 60 Hz",eMMC 128GB,Intel UHD Graphics 600 (Integrada)
,Dell Inspiron 14 3493 (i5-1035G1 / 8GB / 256GB / W10P),465000,Intel Core i5-1035G1 (4 núcleos / 8 hilos / 1000 MHz  - 3600 MHz),8 GB DDR4 (2666 MHz),"LED 14.0"" (1920x1080)  / 60 Hz",SSD 256GB,Intel UHD Graphics G1 (Integrada)
,HP EliteBook 820 G3 (i7-6500U / 8GB / 256GB SSD),469000,Intel Core i7-6500U (2 núcleos / 4 hilos / 2500 MHz  - 3100 MHz),8 GB DDR4 (2133 MHz),"LED 12.5"" (1366x768)  / 60 Hz",SSD 256GB,Intel HD Graphics 520 (Integrada)
,HP ProBook 640 G2 (i5-6200U / 8GB / 500GB / W10P),469000,Intel Core i5-6200U (2 núcleos / 4 hilos / 2300 MHz  - 2800 MHz),8 GB DDR4 (2133 MHz),"LED 14.0"" (1366x768)  / 60 Hz",HDD 500GB (7200rpm),Intel HD Graphics 520 (Integrada)
,ASUS ExpertBook B2451FA-BV0796 [90NX02N1-M10650],469990,Intel Core i3-10110U (2 núcleos / 4 hilos / 2100 MHz  - 4100 MHz),4 GB DDR4 (2666 MHz),"LED 14.0"" (1366x768)  / 60 Hz",HDD 1TB (5400rpm),Intel UHD Graphics 630 (Integrada)
,HP 240 G7 [6MF23LT],469990,Intel Core i5-8265U (4 núcleos / 8 hilos / 1600 MHz  - 3900 MHz),4 GB DDR4 (2400 MHz),"LED 14.0"" (1366x768)  / 60 Hz",HDD 1TB (5400rpm),Intel UHD Graphics 620 (Integrada)
,HP 15-EF1018LA [310J2LA],469990,AMD Ryzen 5 4500U (6 núcleos / 6 hilos / 2300 MHz  - 4000 MHz),8 GB DDR4 (2666 MHz),"LED 15.6"" (1366x768)  / 60 Hz",SSD 256GB,AMD Radeon RX Vega 6 (Ryzen 4000) (Integrada)
,Lenovo IdeaPad 3 15IML05 (i3-9100F / 4GB / 256GB SSD) (81WR),469990,Intel Core i3-9100F (4 núcleos / 4 hilos / 3600 MHz  - 4200 MHz),4 GB DDR4 (2666 MHz),"LED 15.6"" (1366x768) táctil / 60 Hz",SSD 256GB,
,Dell Vostro 3400 [6HP6V],472000,Intel Core i3-1115G4 (2 núcleos / 4 hilos / 3000 MHz  - 4100 MHz),8 GB DDR4 (2666 MHz),"LED 14.0"" (1366x768)  / 60 Hz",HDD 1TB (5400rpm),Intel UHD Graphics Xe G4 48EUs (Integrada)
,CHUWI GemiBook Pro (J4125 / 12GB / 256GB SSD),474990,Intel Celeron J4125 (4 núcleos / 4 hilos / 2000 MHz  - 2700 MHz),12 GB LPDDR4X (2133 MHz),"LED 14.0"" (2160x1440)  / 60 Hz",SSD 256GB,Intel UHD Graphics 600 (Integrada)
,Lenovo IdeaPad 3 14ARE05 [81W30027CL],475000,AMD Ryzen 5 4500U (6 núcleos / 6 hilos / 2300 MHz  - 4000 MHz),8 GB DDR4 (2666 MHz),"LED 14.0"" (1366x768)  / 60 Hz",SSD 256GB,AMD Radeon RX Vega 6 (Ryzen 4000) (Integrada)
,Dell Inspiron 15 3505 [MGTPY],478142,AMD Ryzen 3 3250U (2 núcleos / 4 hilos / 2600 MHz  - 3500 MHz),8 GB DDR4 (2400 MHz),"LED 15.6"" (1366x768)  / 60 Hz",HDD 1TB (5400rpm),AMD Radeon RX Vega 3 (Integrada)
,HP Chromebook 14 G6 [1B202LT],478590,Intel Celeron N4020 (2 núcleos / 2 hilos / 1100 MHz  - 2800 MHz),8 GB LPDDR4 (3733 MHz),"LED 14.0"" (1366x768)  / 60 Hz",eMMC 32GB,Intel UHD Graphics 600 (Integrada)
,HP 240 G8 [2K2P7LT],478990,Intel Core i5-1035G1 (4 núcleos / 8 hilos / 1000 MHz  - 3600 MHz),4 GB DDR4 (2666 MHz),"LED 14.0"" (1366x768)  / 60 Hz",HDD 1TB (5400rpm),Intel UHD Graphics G1 (Integrada)
,Acer Aspire 3 A315-56-346U-1 [NX.HS5AL.00F.1],479900,Intel Core i3-1005G1 (2 núcleos / 4 hilos / 1200 MHz  - 3400 MHz),12 GB DDR4 (2400 MHz),"LED 15.6"" (1920x1080)  / 60 Hz",SSD 512GB,Intel UHD Graphics G1 (Integrada)
,Acer Aspire Spin 3 (Ryzen 5 3250U / 4GB / 256GB SSD / W10H),479990,AMD Ryzen 3 3250U (2 núcleos / 4 hilos / 2600 MHz  - 3500 MHz),4 GB DDR4 (2400 MHz),"LED 14.0"" (1920x1080) táctil / 60 Hz",SSD 256GB,AMD Radeon RX Vega 3 (Integrada)
,Acer Aspire Spin 3 SP314-21-R5K2-1 [NX.A4FAL.003.1],479990,AMD Ryzen 3 3250U (2 núcleos / 4 hilos / 2600 MHz  - 3500 MHz),4 GB DDR4 (2133 MHz),"LED 14.0"" (1920x1080) táctil / 60 Hz",SSD 256GB,AMD Radeon RX Vega 3 (Integrada)
,CHUWI CoreBook X (i5-8259U / 8GB / 256GB SSD),479990,Intel Core i5-8259U (4 núcleos / 8 hilos / 2300 MHz  - 3800 MHz),8 GB DDR4 (2133 MHz),"LED 14.0"" (2560x1440)  / 60 Hz",SSD 256GB,Intel Iris Plus Graphics 655 (128 MB)
,ASUS X543UA-DM2074T [90NB0HF7-M51850],479990,Intel Core i5-8250U (4 núcleos / 8 hilos / 1600 MHz  - 3400 MHz),8 GB DDR4 (2400 MHz),"LED 15.6"" (1920x1080)  / 60 Hz",HDD 1TB (5400rpm),Intel UHD Graphics 620 (Integrada)
,HP 14-CF2053LA [299P9LA],479990,Intel Core i3-10110U (2 núcleos / 4 hilos / 2100 MHz  - 4100 MHz),8 GB DDR4 (2666 MHz),"LED 14.0"" (1366x768)  / 60 Hz",SSD 512GB,Intel UHD Graphics 630 (Integrada)
,HP EliteBook 8470p (i5-3210M / 8GB / 480GB SSD / W10P),479990,Intel Core i5-3210M (2 núcleos / 4 hilos / 2500 MHz  - 3100 MHz),8 GB DDR3 (1600 MHz),"LED 14.0"" (1366x768)  / 60 Hz",SSD 480GB,Intel HD Graphics 4000 (Integrada)
,ASUS 15 X515EA-BQ507T [90NB0TY2-M07740],479990,Intel Core i3-1115G4 (2 núcleos / 4 hilos / 3000 MHz  - 4100 MHz),4 GB DDR4 (2666 MHz),"LED 15.6"" (1920x1080)  / 60 Hz",SSD 256GB,Intel UHD Graphics Xe G4 48EUs (Integrada)
,Dell Vostro 3400 (i3-1115G4 / 8GB / 1TB + 240GB SSD / W10P),479990,Intel Core i3-1115G4 (2 núcleos / 4 hilos / 3000 MHz  - 4100 MHz),8 GB DDR4 (2666 MHz),"LED 14.0"" (1366x768)  / 60 Hz",HDD 1TB (5400rpm),Intel UHD Graphics Xe G4 48EUs (Integrada)
,HP EliteBook x360 1030 G2 (i5-7300U / 8GB / 256GB SSD / FHD),479990,Intel Core i5-7300U (2 núcleos / 4 hilos / 2600 MHz  - 3500 MHz),8 GB DDR4 (1866 MHz),"LED 13.3"" (1920x1080) táctil / 60 Hz",SSD 256GB,Intel HD Graphics 620 (Integrada)
,Huawei Matebook D 15 [BohrB-WAI9A / 53011TWD],479990,Intel Core i3-10110U (2 núcleos / 4 hilos / 2100 MHz  - 4100 MHz),8 GB DDR4 (3200 MHz),"LED 15.6"" (1920x1080)  / 60 Hz",SSD 256GB,Intel UHD Graphics 630 (Integrada)
,Lenovo ThinkPad L490 (8GB / 256GB SSD) [20Q6S10900],485000,Intel Core i5-8265U (4 núcleos / 8 hilos / 1600 MHz  - 3900 MHz),8 GB DDR4 (2400 MHz),"LED 14.0"" (1366x768)  / 60 Hz",SSD 256GB,Intel UHD Graphics 620 (Integrada)
